cpu,lpm,transmit,listen,hops,d,_R,_Nb
19127,308326,637,149229,1,45,250,52
21536,305910,4374,141979,2,90,250,52
18530,308929,589,154628,1,45,250,52
17146,310301,2222,148843,2,90,250,52
19826,307630,702,158382,1,45,250,52
12759,314691,57,151358,2,90,250,52
19330,308127,602,155235,1,45,250,52
17031,310432,2225,151107,2,90,250,52
19259,308200,427,161633,1,45,250,52
12656,314792,57,152792,2,90,250,52
20802,306654,655,145987,1,45,250,52
21520,305947,4366,147399,2,90,250,52
19852,307604,539,147854,1,45,250,52
17313,310134,2216,154441,2,90,250,52
19792,307659,871,152889,1,45,250,52
12998,314452,58,154319,2,90,250,52
14287,313171,313,158845,1,45,250,52
13427,314038,56,157071,2,90,250,52
14189,313268,357,154532,1,45,250,52
17204,310262,2227,155772,2,90,250,52
13345,314112,264,158059,1,45,250,52
12512,314936,57,159012,2,90,250,52
14820,312638,413,156433,1,45,250,52
13495,313975,56,154771,2,90,250,52
15653,311804,524,157244,1,45,250,52
17632,309833,2209,151352,2,90,250,52
14766,312691,378,156843,1,45,250,52
12571,314876,58,158000,2,90,250,52
15721,311737,424,157650,1,45,250,52
12326,315141,55,156034,2,90,250,52
16222,311238,570,158065,1,45,250,52
12522,314946,55,149372,2,90,250,52
16516,310938,573,145676,1,45,250,52
22255,305212,4378,151950,2,90,250,52
15932,311526,434,149806,1,45,250,52
17370,310079,2208,150508,2,90,250,52
15862,311597,493,161361,1,45,250,52
12548,314900,57,155027,2,90,250,52
18679,308779,547,156796,1,45,250,52
17547,309917,2214,149510,2,90,250,52
18863,308594,479,152576,1,45,250,52
21638,305810,4377,144431,2,90,250,52
20330,307128,580,159122,1,45,250,52
13297,314152,58,154415,2,90,250,52
21769,305683,920,146361,1,45,250,52
17943,309516,534,157810,1,45,250,52
13218,314232,57,159687,2,90,250,52
19709,307748,533,154794,1,45,250,52
21297,306167,4379,147742,2,90,250,52
20910,306549,523,157782,1,45,250,52
21783,305665,4357,154057,2,90,250,52
22444,305013,435,160127,1,45,250,52
13225,314224,57,154695,2,90,250,52
25474,301980,872,153158,1,45,250,52
17119,310348,2211,150833,2,90,250,52
22427,305027,828,152624,1,45,250,52
13988,313459,57,147792,2,90,250,52
21317,306139,872,153511,1,45,250,52
18436,309030,2273,151550,2,90,250,52
19648,307807,587,153954,1,45,250,52
13745,313701,171,151793,2,90,250,52
20544,306910,766,157259,1,45,250,52
14096,313363,56,146089,2,90,250,52
16720,310738,635,159598,1,45,250,52
13439,314028,55,157353,2,90,250,52
18454,309003,569,158867,1,45,250,52
17720,309745,2222,149895,2,90,250,52
19487,307970,579,150492,1,45,250,52
21431,306018,4391,150065,2,90,250,52
20412,307040,766,145619,1,45,250,52
13621,313828,57,149277,2,90,250,52
15447,312010,426,154966,1,45,250,52
17473,309992,2224,153992,2,90,250,52
16291,311170,491,156773,1,45,250,52
17270,310176,2222,149434,2,90,250,52
17298,310157,533,155111,1,45,250,52
12494,314953,57,150734,2,90,250,52
16043,311418,524,160081,1,45,250,52
12323,315144,56,155693,2,90,250,52
19198,308259,756,156346,1,45,250,52
13771,313698,56,153703,2,90,250,52
18154,309304,415,149579,1,45,250,52
21534,305933,4375,146133,2,90,250,52
14795,312661,373,152612,1,45,250,52
13155,314293,57,159014,2,90,250,52
17449,310009,477,155090,1,45,250,52
17113,310353,2214,156212,2,90,250,52
19624,307834,582,154561,1,45,250,52
16829,310616,2224,152186,2,90,250,52
19511,307941,647,144136,1,45,250,52
21540,305909,4385,150305,2,90,250,52
16022,311436,421,153088,1,45,250,52
17235,310213,2221,154926,2,90,250,52
15678,311780,421,158171,1,45,250,52
12621,314828,57,158006,2,90,250,52
15580,311876,411,158680,1,45,250,52
13413,314051,55,158003,2,90,250,52
17493,309964,525,153242,1,45,250,52
17300,310167,2226,153396,2,90,250,52
17610,309850,649,158649,1,45,250,52
12276,315171,57,157958,2,90,250,52
19583,307874,644,155491,1,45,250,52
13434,314035,55,159052,2,90,250,52
20543,306915,634,156276,1,45,250,52
22101,305364,4384,150208,2,90,250,52
20921,306537,650,150279,1,45,250,52
21866,305582,4380,146158,2,90,250,52
24533,302922,2853,147139,1,45,250,52
13467,313982,57,151709,2,90,250,52
19890,307556,693,150729,1,45,250,52
21900,305565,4382,139949,2,90,250,52
19703,307754,543,155903,1,45,250,52
12326,315121,57,157850,2,90,250,52
19934,307522,635,152662,1,45,250,52
12383,315084,55,156863,2,90,250,52
20859,306598,588,156105,1,45,250,52
12693,314775,55,155485,2,90,250,52
21047,306407,812,151376,1,45,250,52
13687,313782,55,150423,2,90,250,52
18182,309274,647,160862,1,45,250,52
13563,313902,55,150021,2,90,250,52
19018,308436,690,151789,1,45,250,52
21473,305994,4379,148570,2,90,250,52
15552,311906,435,154568,1,45,250,52
17497,309951,2220,152568,2,90,250,52
16614,310847,699,157422,1,45,250,52
16959,310489,2223,143825,2,90,250,52
18753,308705,548,155378,1,45,250,52
12577,314871,58,157904,2,90,250,52
20391,307066,773,149927,1,45,250,52
21529,305939,4389,145396,2,90,250,52
18480,308974,654,154680,1,45,250,52
13409,314039,57,150846,2,90,250,52
19450,308007,699,155664,1,45,250,52
18455,309011,2221,157075,2,90,250,52
18630,308827,651,155297,1,45,250,52
17300,310145,2224,150174,2,90,250,52
17985,309474,476,157771,1,45,250,52
12384,315064,57,154458,2,90,250,52
19886,307571,586,159854,1,45,250,52
12613,314855,55,156218,2,90,250,52
21614,305838,819,146081,1,45,250,52
17574,309895,2219,151027,2,90,250,52
16928,310529,766,146463,1,45,250,52
22954,304491,4496,141932,2,90,250,52
15787,311672,524,151833,1,45,250,52
13004,314446,57,155824,2,90,250,52
15161,312295,422,152641,1,45,250,52
13508,313958,54,156843,2,90,250,52
14346,313111,368,155297,1,45,250,52
17215,310250,2223,153899,2,90,250,52
14217,313240,380,160187,1,45,250,52
12634,314814,58,154740,2,90,250,52
15695,311764,570,160057,1,45,250,52
13672,313798,56,153514,2,90,250,52
14153,313304,358,158660,1,45,250,52
17540,309924,2221,154924,2,90,250,52
16487,310971,546,152998,1,45,250,52
12673,314776,58,158053,2,90,250,52
15527,311930,523,159037,1,45,250,52
12385,315081,55,154239,2,90,250,52
15057,312400,469,153189,1,45,250,52
12340,315128,55,158880,2,90,250,52
16584,310873,624,156527,1,45,250,52
12709,314757,55,153926,2,90,250,52
15623,311835,526,156745,1,45,250,52
13000,314470,56,159778,2,90,250,52
14044,313413,369,157095,1,45,250,52
17708,309756,2214,153390,2,90,250,52
14482,312975,366,157899,1,45,250,52
12644,314804,57,157819,2,90,250,52
14273,313186,450,159221,1,45,250,52
12330,315136,55,156791,2,90,250,52
14121,313336,368,157593,1,45,250,52
12299,315168,55,158511,2,90,250,52
16054,311407,479,157742,1,45,250,52
12570,314897,55,158143,2,90,250,52
18123,309335,425,155860,1,45,250,52
12335,315133,56,158535,2,90,250,52
19006,308451,534,154762,1,45,250,52
21659,305808,4374,145091,2,90,250,52
20776,306679,784,155987,1,45,250,52
13751,313697,57,153924,2,90,250,52
18491,308961,764,151619,1,45,250,52
17801,309666,2223,149098,2,90,250,52
14532,312926,365,154284,1,45,250,52
13395,314051,57,159870,2,90,250,52
14692,312766,404,156612,1,45,250,52
13729,313739,55,159395,2,90,250,52
14089,313369,359,156327,1,45,250,52
17218,310248,2222,152730,2,90,250,52
15375,312082,525,157743,1,45,250,52
13647,313802,57,150473,2,90,250,52
14813,312645,414,153075,1,45,250,52
17441,310024,2214,154173,2,90,250,52
15982,311478,583,159629,1,45,250,52
12318,315130,58,156349,2,90,250,52
17151,310303,539,158681,1,45,250,52
12449,315018,56,152719,2,90,250,52
13445,314011,258,158282,1,45,250,52
12613,314855,55,158218,2,90,250,52
14455,313004,361,153637,1,45,250,52
12361,315106,55,158879,2,90,250,52
15916,311541,614,155248,1,45,250,52
13179,314288,55,151734,2,90,250,52
14302,313155,311,157062,1,45,250,52
17635,309830,2204,153992,2,90,250,52
13953,313504,320,156804,1,45,250,52
12322,315125,57,157821,2,90,250,52
14371,313088,450,157930,1,45,250,52
12329,315138,55,157060,2,90,250,52
14508,312950,532,157835,1,45,250,52
13753,313714,110,157038,2,90,250,52
14712,312746,511,158018,1,45,250,52
15774,311685,523,161634,1,45,250,52
12324,315142,55,155180,2,90,250,52
18308,309151,467,161648,1,45,250,52
12616,314851,56,157243,2,90,250,52
21742,305712,1140,150049,1,45,250,52
13264,314203,110,155656,2,90,250,52
17997,309451,712,158876,1,45,250,52
12336,315121,57,155460,2,90,250,52
17325,310128,481,158135,1,45,250,52
12755,314713,55,156114,2,90,250,52
13237,314222,304,157844,1,45,250,52
12284,315183,56,158502,2,90,250,52
16523,310938,649,159301,1,45,250,52
13496,313970,111,153593,2,90,250,52
17576,309877,639,148689,1,45,250,52
21860,305598,4382,150406,2,90,250,52
13953,313504,321,160425,1,45,250,52
13221,314228,57,157068,2,90,250,52
14497,312961,414,153342,1,45,250,52
17114,310354,2216,155151,2,90,250,52
13395,314063,263,159326,1,45,250,52
13696,313749,57,157977,2,90,250,52
14071,313387,312,158862,1,45,250,52
13463,314005,55,156787,2,90,250,52
15946,311510,653,151311,1,45,250,52
18204,309262,2265,149500,2,90,250,52
14810,312647,423,160230,1,45,250,52
13807,313643,57,155938,2,90,250,52
15179,312280,542,158101,1,45,250,52
14467,312998,110,154593,2,90,250,52
14291,313165,374,159141,1,45,250,52
13448,314011,56,158783,2,90,250,52
14979,312478,460,157440,1,45,250,52
13751,313716,55,159538,2,90,250,52
14617,312842,414,158137,1,45,250,52
13422,314045,55,159540,2,90,250,52
16447,311009,689,155055,1,45,250,52
14662,312804,110,149745,2,90,250,52
16109,311350,645,153876,1,45,250,52
18730,308728,2271,150120,2,90,250,52
13864,313593,318,155275,1,45,250,52
13464,313983,57,157808,2,90,250,52
13540,313917,395,158895,1,45,250,52
13505,313962,55,158002,2,90,250,52
13423,314034,257,157523,1,45,250,52
13732,313735,54,158217,2,90,250,52
14622,312836,450,156673,1,45,250,52
13589,313878,55,157071,2,90,250,52
14686,312770,502,156712,1,45,250,52
13554,313911,55,154429,2,90,250,52
14619,312838,413,158157,1,45,250,52
13768,313699,55,156437,2,90,250,52
15873,311584,814,153547,1,45,250,52
15474,311993,166,155170,2,90,250,52
16408,311050,717,160556,1,45,250,52
14632,312825,113,151564,2,90,250,52
14525,312932,361,158367,1,45,250,52
13752,313705,56,157819,2,90,250,52
14633,312825,413,152796,1,45,250,52
17381,310086,2227,153116,2,90,250,52
15864,311593,629,155275,1,45,250,52
12364,315082,58,157485,2,90,250,52
17354,310104,755,155687,1,45,250,52
13803,313664,110,155796,2,90,250,52
14035,313423,364,158894,1,45,250,52
13211,314249,57,157852,2,90,250,52
15614,311846,478,160843,1,45,250,52
18663,308794,756,160180,1,45,250,52
13850,313616,54,152755,2,90,250,52
19691,307937,854,160289,1,45,250,52
14599,312869,110,151342,2,90,250,52
19477,308084,371,161590,1,45,250,52
13458,313999,57,155658,2,90,250,52
21898,305792,646,155015,1,45,250,52
18084,309383,2223,147550,2,90,250,52
22237,305221,678,152719,1,45,250,52
17906,309542,2224,153384,2,90,250,52
22802,304652,754,156089,1,45,250,52
17943,309504,2217,147927,2,90,250,52
21767,305687,825,149234,1,45,250,52
13816,313630,57,158558,2,90,250,52
19545,307912,658,152823,1,45,250,52
17746,309721,2213,151731,2,90,250,52
18858,308600,361,157637,1,45,250,52
12357,315091,57,154297,2,90,250,52
22726,304731,697,157482,1,45,250,52
13970,313498,55,148444,2,90,250,52
21193,306262,825,151388,1,45,250,52
13662,313804,55,149605,2,90,250,52
16553,310898,582,154535,1,45,250,52
13569,313897,56,154622,2,90,250,52
15794,311663,526,156172,1,45,250,52
13793,313675,55,157584,2,90,250,52
15919,311539,571,155247,1,45,250,52
13597,313870,54,155203,2,90,250,52
15979,311480,525,156016,1,45,250,52
17372,310093,2222,146486,2,90,250,52
14992,312462,520,147995,1,45,250,52
22016,305433,4381,150292,2,90,250,52
15399,312058,537,159012,1,45,250,52
13315,314135,57,156297,2,90,250,52
13188,314270,259,155772,1,45,250,52
17257,310209,2218,154390,2,90,250,52
15020,312437,466,156208,1,45,250,52
17270,310175,2216,151589,2,90,250,52
14575,312884,425,159206,1,45,250,52
12342,315106,58,157485,2,90,250,52
14332,313125,366,155789,1,45,250,52
12329,315137,55,156555,2,90,250,52
16022,311438,479,158502,1,45,250,52
13864,313605,55,151798,2,90,250,52
18235,309223,563,155973,1,45,250,52
13484,313983,55,161596,2,90,250,52
19704,307753,592,153314,1,45,250,52
22092,305374,4377,144294,2,90,250,52
20427,307028,748,152524,1,45,250,52
17555,309893,2225,147440,2,90,250,52
18138,309320,593,158098,1,45,250,52
12734,314716,58,150052,2,90,250,52
19148,308309,430,151727,1,45,250,52
13565,313900,55,153733,2,90,250,52
21618,305839,865,147850,1,45,250,52
17315,310150,2216,143824,2,90,250,52
17549,309901,701,151731,1,45,250,52
12412,315036,57,156815,2,90,250,52
14865,312592,459,155677,1,45,250,52
13452,314018,55,159023,2,90,250,52
16733,310728,633,159650,1,45,250,52
13774,313691,55,154849,2,90,250,52
14859,312595,412,160122,1,45,250,52
13560,313908,56,157368,2,90,250,52
13427,314030,304,154421,1,45,250,52
17357,310108,2224,152863,2,90,250,52
13694,313764,352,160941,1,45,250,52
12637,314810,57,158726,2,90,250,52
15995,311463,616,157803,1,45,250,52
12474,314994,55,154421,2,90,250,52
14553,312904,573,156416,1,45,250,52
13925,313543,109,158823,2,90,250,52
13497,313961,260,157530,1,45,250,52
13763,313694,56,158489,2,90,250,52
15807,311654,479,158773,1,45,250,52
13314,314153,56,161448,2,90,250,52
18555,308897,646,155977,1,45,250,52
13635,313831,55,150998,2,90,250,52
16441,311019,524,154806,1,45,250,52
21851,305616,4398,150971,2,90,250,52
16000,311455,529,155445,1,45,250,52
13348,314100,57,157374,2,90,250,52
13349,314108,302,152992,1,45,250,52
17055,310412,2225,154914,2,90,250,52
14605,312853,447,150467,1,45,250,52
18813,308633,2283,153451,2,90,250,52
15159,312299,551,156830,1,45,250,52
13273,314175,114,154624,2,90,250,52
14750,312706,546,156868,1,45,250,52
13303,314155,113,155612,2,90,250,52
14676,312782,375,155328,1,45,250,52
13822,313638,56,157485,2,90,250,52
16142,311318,612,160444,1,45,250,52
13424,314041,56,158386,2,90,250,52
18346,309113,524,155893,1,45,250,52
13426,314041,55,157001,2,90,250,52
19790,307664,644,146513,1,45,250,52
22308,305159,4376,145970,2,90,250,52
17230,310225,543,148190,1,45,250,52
13351,314099,57,155935,2,90,250,52
14603,312853,577,149456,1,45,250,52
18019,309448,2274,153450,2,90,250,52
13437,314021,264,158336,1,45,250,52
13743,313703,57,158488,2,90,250,52
13040,314417,259,159571,1,45,250,52
13356,314111,55,159527,2,90,250,52
14267,313191,368,157902,1,45,250,52
16887,310579,2221,154928,2,90,250,52
15882,311576,491,156658,1,45,250,52
13795,313655,57,158784,2,90,250,52
16111,311347,615,154019,1,45,250,52
17511,309955,2207,150090,2,90,250,52
16174,311285,630,161739,1,45,250,52
12504,314942,57,150726,2,90,250,52
18578,308881,547,158826,1,45,250,52
12794,314674,55,152267,2,90,250,52
19486,307972,426,153037,1,45,250,52
21726,305741,4327,147495,2,90,250,52
19944,307511,645,156805,1,45,250,52
13334,314115,57,151959,2,90,250,52
21165,306294,525,158333,1,45,250,52
17682,309784,2220,150060,2,90,250,52
20814,306641,802,159986,1,45,250,52
13514,313934,57,156121,2,90,250,52
20755,306701,478,157697,1,45,250,52
13419,314047,55,157533,2,90,250,52
23420,304038,582,155460,1,45,250,52
22351,305116,4365,148668,2,90,250,52
24016,303439,605,150353,1,45,250,52
17001,310446,2224,150884,2,90,250,52
24326,303129,675,155549,1,45,250,52
12678,314772,57,156918,2,90,250,52
24253,303204,570,158084,1,45,250,52
13798,313667,55,157033,2,90,250,52
24486,302972,562,161679,1,45,250,52
13563,313905,55,158482,2,90,250,52
26389,301067,740,151146,1,45,250,52
18502,308962,2275,144667,2,90,250,52
27603,299850,1107,151752,1,45,250,52
16205,311245,115,147277,2,90,250,52
24656,302788,467,161680,1,45,250,52
25925,301530,631,157417,1,45,250,52
27029,300426,674,157026,1,45,250,52
26425,301029,526,157250,1,45,250,52
13477,313979,57,155243,2,90,250,52
27373,300082,846,147585,1,45,250,52
25671,301783,752,152760,1,45,250,52
16372,311098,165,149120,2,90,250,52
17646,309812,110,153140,2,90,250,52
26959,300497,939,147433,1,45,250,52
18074,309385,55,152049,2,90,250,52
26288,301169,748,157712,1,45,250,52
23084,304380,2389,148439,2,90,250,52
29431,298021,1125,138556,1,45,250,52
20326,307123,339,153610,2,90,250,52
19247,308208,221,152849,2,90,250,52
18642,308814,171,154953,2,90,250,52
24896,302552,635,156800,1,45,250,52
23558,303898,2393,146458,2,90,250,52
17827,309619,509,149710,2,90,250,52
28108,299345,1138,153049,1,45,250,52
14170,313283,169,144232,2,90,250,52
25332,302110,601,157512,1,45,250,52
12762,314696,56,156599,2,90,250,52
25950,301504,1100,148889,1,45,250,52
14582,312886,221,150169,2,90,250,52
22556,304889,593,161692,1,45,250,52
12472,314986,56,149987,2,90,250,52
23699,303757,530,158556,1,45,250,52
12762,314704,55,157382,2,90,250,52
24388,303067,686,150793,1,45,250,52
12361,315106,55,159685,2,90,250,52
24176,303278,753,154480,1,45,250,52
12411,315055,55,155288,2,90,250,52
24172,303286,711,157792,1,45,250,52
13562,313906,110,153629,2,90,250,52
23900,303555,701,151396,1,45,250,52
16901,310557,2219,148685,2,90,250,52
22668,304788,650,156271,1,45,250,52
12535,314913,57,149559,2,90,250,52
22904,304551,595,151865,1,45,250,52
12800,314666,55,155322,2,90,250,52
22871,304585,600,158543,1,45,250,52
12413,315055,55,154247,2,90,250,52
22304,305151,542,160291,1,45,250,52
12466,315000,54,150716,2,90,250,52
23149,304308,621,159911,1,45,250,52
12903,314564,55,153295,2,90,250,52
23885,303571,594,156235,1,45,250,52
12504,314964,55,149348,2,90,250,52
24886,302569,695,153903,1,45,250,52
12461,315005,54,152407,2,90,250,52
24181,303275,680,154757,1,45,250,52
12895,314573,56,152201,2,90,250,52
23946,303511,650,159593,1,45,250,52
12465,315002,55,149948,2,90,250,52
23573,303883,473,161662,1,45,250,52
12352,315115,55,154933,2,90,250,52
25667,301787,813,159443,1,45,250,52
12721,314745,55,157779,2,90,250,52
25216,302241,695,157296,1,45,250,52
13381,314087,111,152457,2,90,250,52
25164,302291,594,156020,1,45,250,52
12542,314915,56,147044,2,90,250,52
25484,301971,532,159827,1,45,250,52
26832,300623,633,161403,1,45,250,52
26738,300715,644,160909,1,45,250,52
12665,314802,56,158463,2,90,250,52
27532,299925,831,150184,1,45,250,52
26227,301226,677,152175,1,45,250,52
15095,312376,110,150599,2,90,250,52
27832,299621,1257,153256,1,45,250,52
15855,311602,55,149523,2,90,250,52
17942,309524,225,150443,2,90,250,52
17376,310082,113,149573,2,90,250,52
26781,300662,932,142800,1,45,250,52
18211,309245,166,146438,2,90,250,52
18473,308979,562,147900,2,90,250,52
24918,302538,892,153694,1,45,250,52
12349,315109,57,157775,2,90,250,52
23620,303835,652,159350,1,45,250,52
12454,315012,55,152699,2,90,250,52
23554,303904,543,159338,1,45,250,52
12858,314609,55,150278,2,90,250,52
23994,303458,654,151581,1,45,250,52
12357,315111,55,156517,2,90,250,52
23951,303505,597,154601,1,45,250,52
12594,314874,55,156129,2,90,250,52
24817,302639,741,161562,1,45,250,52
13893,313572,56,157266,2,90,250,52
24059,303397,592,156749,1,45,250,52
13532,313935,55,152251,2,90,250,52
24826,302628,707,148735,1,45,250,52
13403,314063,55,158417,2,90,250,52
24310,303147,647,159159,1,45,250,52
13932,313535,55,153749,2,90,250,52
24719,302738,470,161671,1,45,250,52
13471,313995,55,150190,2,90,250,52
16209,311261,110,153709,2,90,250,52
26198,301260,873,154890,1,45,250,52
26792,300665,663,157023,1,45,250,52
16677,310777,223,149394,2,90,250,52
25838,301614,792,155403,1,45,250,52
16177,311283,113,152064,2,90,250,52
26970,300486,951,154197,1,45,250,52
25125,302330,427,158646,1,45,250,52
26928,300528,656,160900,1,45,250,52
28246,299209,666,159887,1,45,250,52
27732,299720,876,155222,1,45,250,52
17764,309692,281,150298,2,90,250,52
17153,310303,114,158341,2,90,250,52
17878,309579,281,149768,2,90,250,52
17829,309629,56,156747,2,90,250,52
19875,307591,112,151210,2,90,250,52
28958,298501,1546,140904,1,45,250,52
20788,306744,113,143258,2,90,250,52
20996,306646,727,138414,2,90,250,52
25423,302018,791,154222,1,45,250,52
13868,313590,56,156287,2,90,250,52
25214,302241,648,152337,1,45,250,52
13417,314049,55,157414,2,90,250,52
24568,302888,813,157346,1,45,250,52
13521,313946,55,151998,2,90,250,52
24956,302498,846,157142,1,45,250,52
14166,313301,55,147589,2,90,250,52
22820,304638,527,159321,1,45,250,52
13439,314029,55,158512,2,90,250,52
24274,303182,676,161270,1,45,250,52
13502,313963,55,154780,2,90,250,52
25889,301566,647,158582,1,45,250,52
13935,313532,55,153643,2,90,250,52
24256,303200,581,160089,1,45,250,52
13430,314037,55,155516,2,90,250,52
24841,302613,757,151454,1,45,250,52
17622,309842,2217,143774,2,90,250,52
25191,302265,897,158470,1,45,250,52
12784,314662,58,147081,2,90,250,52
22108,305349,529,158312,1,45,250,52
12097,315370,55,159055,2,90,250,52
23055,304399,757,158090,1,45,250,52
12147,315318,56,152287,2,90,250,52
22889,304568,490,160862,1,45,250,52
12600,314867,55,151696,2,90,250,52
22968,304488,592,157290,1,45,250,52
12226,315240,55,144931,2,90,250,52
24273,303183,754,153362,1,45,250,52
12148,315319,55,152112,2,90,250,52
22502,304953,594,154426,1,45,250,52
12527,314938,55,153843,2,90,250,52
22099,305358,535,154402,1,45,250,52
12160,315308,55,150494,2,90,250,52
22916,304540,533,158826,1,45,250,52
12055,315411,55,151587,2,90,250,52
23806,303652,470,161621,1,45,250,52
12577,314890,55,152659,2,90,250,52
24224,303231,482,159056,1,45,250,52
25120,302335,521,161547,1,45,250,52
11976,315490,55,158289,2,90,250,52
28348,299316,978,154741,1,45,250,52
14813,312660,111,159466,2,90,250,52
16601,310852,278,149500,2,90,250,52
26421,301104,972,150952,1,45,250,52
15337,312113,336,151729,2,90,250,52
25360,302322,896,152198,1,45,250,52
14360,313095,113,151498,2,90,250,52
24594,302862,478,160829,1,45,250,52
12439,315018,56,157644,2,90,250,52
25842,301611,1128,153704,1,45,250,52
13812,313655,109,146461,2,90,250,52
22138,305309,544,157468,1,45,250,52
11948,315509,56,158537,2,90,250,52
23241,304212,1042,145546,1,45,250,52
12765,314701,55,145322,2,90,250,52
17948,309500,591,156289,1,45,250,52
12450,315018,55,153353,2,90,250,52
17314,310143,595,158077,1,45,250,52
13360,314105,166,152811,2,90,250,52
19853,307604,538,160623,1,45,250,52
12480,314977,57,153954,2,90,250,52
20131,307326,594,154683,1,45,250,52
12110,315357,55,153313,2,90,250,52
22073,305379,964,157082,1,45,250,52
12181,315285,55,154559,2,90,250,52
14838,312619,368,158113,1,45,250,52
12427,315040,55,158749,2,90,250,52
14564,312894,369,155112,1,45,250,52
12081,315387,55,155520,2,90,250,52
15336,312120,424,156349,1,45,250,52
12041,315424,55,156932,2,90,250,52
16236,311221,648,153319,1,45,250,52
14632,312838,110,150857,2,90,250,52
13254,314204,307,156569,1,45,250,52
13013,314443,56,160275,2,90,250,52
16979,310478,761,158519,1,45,250,52
14117,313350,110,149773,2,90,250,52
13774,313683,308,158403,1,45,250,52
13621,313836,57,157202,2,90,250,52
16018,311444,570,159139,1,45,250,52
13279,314189,55,150852,2,90,250,52
18222,309236,627,161448,1,45,250,52
13276,314190,55,150637,2,90,250,52
17169,310283,649,152363,1,45,250,52
17934,309534,2217,152651,2,90,250,52
15857,311602,537,155755,1,45,250,52
17752,309936,2220,150924,2,90,250,52
15798,311659,576,150383,1,45,250,52
17352,310095,2226,154011,2,90,250,52
14847,312610,423,160208,1,45,250,52
13887,313563,58,156830,2,90,250,52
15063,312396,395,158280,1,45,250,52
17584,309880,2222,155489,2,90,250,52
15781,311677,583,158806,1,45,250,52
12331,315116,57,156316,2,90,250,52
14342,313115,312,158829,1,45,250,52
13943,313527,55,157571,2,90,250,52
14319,313138,413,158404,1,45,250,52
13392,314073,55,157856,2,90,250,52
15327,312130,477,154881,1,45,250,52
17021,310445,2222,150934,2,90,250,52
13695,313763,308,157582,1,45,250,52
12721,314727,57,160036,2,90,250,52
13976,313482,357,159408,1,45,250,52
12315,315153,55,159869,2,90,250,52
13067,314390,258,157276,1,45,250,52
12296,315171,55,159004,2,90,250,52
14761,312696,361,157068,1,45,250,52
13423,314045,55,159904,2,90,250,52
15993,311468,570,160641,1,45,250,52
13583,313883,56,153418,2,90,250,52
18122,309337,694,159469,1,45,250,52
17448,310020,2206,149456,2,90,250,52
19724,307728,708,146563,1,45,250,52
18537,308910,2222,148941,2,90,250,52
16407,311055,650,158156,1,45,250,52
16934,310514,2214,154926,2,90,250,52
17439,310019,475,158530,1,45,250,52
13478,313969,57,155462,2,90,250,52
21106,306349,712,151231,1,45,250,52
22116,305350,4392,141545,2,90,250,52
19585,307870,753,160127,1,45,250,52
13310,314138,57,155254,2,90,250,52
16350,311104,427,153774,1,45,250,52
17317,310150,2217,151327,2,90,250,52
13501,313957,263,161650,1,45,250,52
13831,313615,57,159240,2,90,250,52
13445,314014,302,156036,1,45,250,52
16890,310577,2215,155428,2,90,250,52
15298,312158,537,159795,1,45,250,52
12358,315089,57,156985,2,90,250,52
14043,313415,347,153019,1,45,250,52
17780,309688,2222,154415,2,90,250,52
16054,311403,574,153936,1,45,250,52
12507,314941,58,155146,2,90,250,52
13209,314249,302,160123,1,45,250,52
12282,315185,55,159523,2,90,250,52
16127,311331,525,156234,1,45,250,52
12788,314678,55,158491,2,90,250,52
15775,311687,478,159528,1,45,250,52
12346,315122,55,155415,2,90,250,52
17883,309574,537,159069,1,45,250,52
12400,315066,55,150591,2,90,250,52
19425,308032,535,153101,1,45,250,52
22245,305223,4359,150343,2,90,250,52
19749,307708,470,159843,1,45,250,52
16959,310489,2217,148609,2,90,250,52
21334,306124,693,162035,1,45,250,52
16746,310702,2217,153535,2,90,250,52
22465,304990,488,153329,1,45,250,52
12917,314530,57,155898,2,90,250,52
22640,304816,881,155589,1,45,250,52
12392,315076,55,153957,2,90,250,52
21280,306179,603,159616,1,45,250,52
12495,314971,55,151281,2,90,250,52
23173,304277,1091,150961,1,45,250,52
14087,313382,55,151737,2,90,250,52
16588,310857,535,152780,1,45,250,52
13721,313745,55,150933,2,90,250,52
13120,314337,256,159553,1,45,250,52
13346,314120,55,160278,2,90,250,52
